Unnamed: 0,acousticness,artist,color,danceability,date,days,energy,genres,position,region,size,streams,streams_max,streams_min,track_name,url,valence,country_max
165600,0.4,CNCO,#1DB954,0.7609999999999999,2017-01-01,1.0,0.838,"latin,latin pop",1,bo,50.0,6784,6784.0,1003.0,Reggaetón Lento (Bailemos),https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,0.71,18864.0
165601,0.0559,Zion & Lennox,#1DB954,0.8320000000000001,2017-01-01,1.0,0.772,"latin,latin hip hop,reggaeton,tropical",2,bo,43.89150943396226,5748,6784.0,1003.0,Otra Vez (feat. J Balvin),https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,0.7040000000000001,18864.0
165602,0.187,Shakira,#1DB954,0.852,2017-01-01,1.0,0.773,"dance pop,latin,latin pop,pop",3,bo,42.464622641509436,5506,6784.0,1003.0,Chantaje,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,0.907,18864.0
165603,0.0043100000000000005,Ricky Martin,#1DB954,0.6629999999999999,2017-01-01,1.0,0.92,"latin,latin christmas,latin pop,pop christmas,reggaeton,tropical",4,bo,38.32547169811321,4804,6784.0,1003.0,Vente Pa' Ca,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,0.5329999999999999,18864.0
165604,0.142,Sebastian Yatra,#1DB954,0.7759999999999999,2017-01-01,1.0,0.669,"latin,latin pop,pop reggaeton,reggaeton",5,bo,38.18396226415094,4780,6784.0,1003.0,Traicionera,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT,0.6609999999999999,18864.0
165605,0.551,J Balvin,#1DB954,0.508,2017-01-01,1.0,0.687,"latin,reggaeton",6,bo,35.9375,4399,6784.0,1003.0,Safari,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,0.555,18864.0
165606,0.0784,DJ Snake,#1DB954,0.476,2017-01-01,1.0,0.718,"dance pop,edm,electronic trap,pop,tropical house",7,bo,30.884433962264147,3542,6784.0,1003.0,Let Me Love You,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,0.142,18864.0
165607,0.198,Carlos Vives,#1DB954,0.736,2017-01-01,1.0,0.964,"latin,latin pop,reggaeton,tropical,vallenato",8,bo,30.678066037735853,3507,6784.0,1003.0,La Bicicleta,https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU,0.953,18864.0
165608,0.16699999999999998,IAmChino,#1DB954,0.7609999999999999,2017-01-01,1.0,0.8290000000000001,electro bailando,9,bo,30.318396226415096,3446,6784.0,1003.0,Ay Mi Dios,https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY,0.813,18864.0
165609,0.547,Piso 21,#1DB954,0.76,2017-01-01,1.0,0.838,"latin,latin pop,pop reggaeton,reggaeton,tropical",10,bo,27.56485849056604,2979,6784.0,1003.0,Me Llamas (feat. Maluma) - Remix,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX,0.745,18864.0
165610,0.414,The Chainsmokers,#1DB954,0.748,2017-01-01,1.0,0.524,"edm,pop,tropical house",11,bo,27.087264150943394,2898,6784.0,1003.0,Closer,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,0.6609999999999999,18864.0
165611,0.076,Daddy Yankee,#1DB954,0.899,2017-01-01,1.0,0.626,"latin,latin hip hop,reggaeton,tropical",12,bo,26.99292452830189,2882,6784.0,1003.0,Shaky Shaky,https://open.spotify.com/track/58IL315gMSTD37DOZPJ2hf,0.873,18864.0
165612,0.256,Wisin,#1DB954,0.772,2017-01-01,1.0,0.909,"latin,latin hip hop,reggaeton,tropical",13,bo,26.196933962264147,2747,6784.0,1003.0,Vacaciones,https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE,0.6940000000000001,18864.0
165613,0.0244,Chino & Nacho,#1DB954,0.68,2017-01-01,1.0,0.954,"electro latino,latin,latin hip hop,latin pop,pop reggaeton,reggaeton,tropical",14,bo,26.126179245283016,2735,6784.0,1003.0,Andas En Mi Cabeza,https://open.spotify.com/track/5mey7CLLuFToM2P68Qu1gF,0.521,18864.0
165614,0.338,Maroon 5,#1DB954,0.7829999999999999,2017-01-01,1.0,0.623,"dance pop,pop,pop christmas",15,bo,25.129716981132077,2566,6784.0,1003.0,Don't Wanna Know,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,0.447,18864.0
