Unnamed: 0,acousticness,artist,color,danceability,date,days,energy,genres,position,region,size,streams,streams_max,streams_min,track_name,url,valence,country_max
416352,0.581,Ed Sheeran,#1DB954,0.825,2017-01-06,6.0,0.652,pop,1,cy,50.0,1549,1549.0,1165.0,Shape of You,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,0.931,1986.0
416353,0.0232,Ed Sheeran,#1DB954,0.461,2017-01-06,6.0,0.8340000000000001,pop,2,cy,40.08392511297612,1165,1549.0,1165.0,Castle on the Hill,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT,0.471,1986.0
416354,0.581,Ed Sheeran,#1DB954,0.825,2017-01-07,7.0,0.652,pop,1,cy,50.0,1759,1759.0,1097.0,Shape of You,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,0.931,1986.0
416355,0.0232,Ed Sheeran,#1DB954,0.461,2017-01-07,7.0,0.8340000000000001,pop,2,cy,34.945992040932346,1097,1759.0,1097.0,Castle on the Hill,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT,0.471,1986.0
416356,0.581,Ed Sheeran,#1DB954,0.825,2017-01-08,8.0,0.652,pop,1,cy,50.0,1866,1866.0,1160.0,Shape of You,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,0.931,1986.0
416357,0.0232,Ed Sheeran,#1DB954,0.461,2017-01-08,8.0,0.8340000000000001,pop,2,cy,34.866023579849944,1160,1866.0,1160.0,Castle on the Hill,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT,0.471,1986.0
416358,0.581,Ed Sheeran,#1DB954,0.825,2017-01-09,9.0,0.652,pop,1,cy,50.0,1896,1896.0,1102.0,Shape of You,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,0.931,1986.0
416359,0.0232,Ed Sheeran,#1DB954,0.461,2017-01-09,9.0,0.8340000000000001,pop,2,cy,33.24894514767932,1102,1896.0,1102.0,Castle on the Hill,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT,0.471,1986.0
416360,0.581,Ed Sheeran,#1DB954,0.825,2017-01-10,10.0,0.652,pop,1,cy,50.0,1878,1878.0,1098.0,Shape of You,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,0.931,1986.0
416361,0.0232,Ed Sheeran,#1DB954,0.461,2017-01-10,10.0,0.8340000000000001,pop,2,cy,33.386581469648554,1098,1878.0,1098.0,Castle on the Hill,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT,0.471,1986.0
416362,0.581,Ed Sheeran,#1DB954,0.825,2017-01-11,11.0,0.652,pop,1,cy,50.0,1697,1697.0,1697.0,Shape of You,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,0.931,1986.0
416363,0.581,Ed Sheeran,#1DB954,0.825,2017-01-12,12.0,0.652,pop,1,cy,50.0,1619,1619.0,1619.0,Shape of You,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,0.931,1986.0
416364,0.581,Ed Sheeran,#1DB954,0.825,2017-01-13,13.0,0.652,pop,1,cy,50.0,1775,1775.0,1775.0,Shape of You,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,0.931,1986.0
416365,0.581,Ed Sheeran,#1DB954,0.825,2017-01-14,14.0,0.652,pop,1,cy,50.0,1751,1751.0,1751.0,Shape of You,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,0.931,1986.0
