Unnamed: 0,acousticness,artist,color,danceability,date,days,energy,genres,position,region,size,streams,streams_max,streams_min,track_name,url,valence,country_max
867764,0.165,The Weeknd,#1DB954,0.6809999999999999,2017-01-01,1.0,0.594,"canadian pop,pop,rap",1,gr,50.0,4209,4209.0,1001.0,Starboy,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,0.535,12067.0
867765,0.0784,DJ Snake,#1DB954,0.476,2017-01-01,1.0,0.718,"dance pop,edm,electronic trap,pop,tropical house",2,gr,33.44499881206937,2467,4209.0,1001.0,Let Me Love You,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,0.142,12067.0
867766,0.414,The Chainsmokers,#1DB954,0.748,2017-01-01,1.0,0.524,"edm,pop,tropical house",3,gr,33.28344024708957,2450,4209.0,1001.0,Closer,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,0.6609999999999999,12067.0
867767,0.406,Clean Bandit,#1DB954,0.72,2017-01-01,1.0,0.763,"dance pop,edm,pop,tropical house,uk funky",4,gr,30.746020432406745,2183,4209.0,1001.0,Rockabye (feat. Sean Paul & Anne-Marie),https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,0.742,12067.0
867768,0.0631,ZAYN,#1DB954,0.735,2017-01-01,1.0,0.451,"dance pop,pop,post-teen pop,tropical house",5,gr,29.43454502257068,2045,4209.0,1001.0,"I Donâ??t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,0.0862,12067.0
867769,0.00784,Drake,#1DB954,0.7909999999999999,2017-01-01,1.0,0.619,"canadian pop,hip hop,pop rap,rap",6,gr,29.063910667617012,2006,4209.0,1001.0,One Dance,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,0.371,12067.0
867770,0.108,Drake,#1DB954,0.927,2017-01-01,1.0,0.488,"canadian pop,hip hop,pop rap,rap",7,gr,28.417676407697787,1938,4209.0,1001.0,Fake Love,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,0.605,12067.0
867771,0.13,Rae Sremmurd,#1DB954,0.794,2017-01-01,1.0,0.6459999999999999,"dwn trap,hip hop,pop rap,rap,southern hip hop,trap music",8,gr,28.39866951770017,1936,4209.0,1001.0,Black Beatles,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,0.322,12067.0
867772,0.4270000000000001,The Weeknd,#1DB954,0.768,2017-01-01,1.0,0.813,"canadian pop,pop,rap",9,gr,27.685911142789262,1861,4209.0,1001.0,I Feel It Coming,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,0.579,12067.0
867773,0.338,Maroon 5,#1DB954,0.7829999999999999,2017-01-01,1.0,0.623,"dance pop,pop,pop christmas",10,gr,27.44832501781897,1836,4209.0,1001.0,Don't Wanna Know,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,0.447,12067.0
867774,0.034,Bruno Mars,#1DB954,0.818,2017-01-01,1.0,0.8029999999999999,"dance pop,pop,pop rap,post-teen pop",11,gr,25.595153243050603,1641,4209.0,1001.0,24K Magic,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,0.632,12067.0
867775,0.123,Shawn Mendes,#1DB954,0.624,2017-01-01,1.0,0.8029999999999999,"canadian pop,dance pop,pop,post-teen pop,viral pop",12,gr,25.595153243050603,1641,4209.0,1001.0,Treat You Better,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd,0.821,12067.0
867776,0.0408,Ariana Grande,#1DB954,0.648,2017-01-01,1.0,0.738,"dance pop,pop,pop christmas,post-teen pop",13,gr,25.33856022808268,1614,4209.0,1001.0,Side To Side,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz,0.603,12067.0
