Unnamed: 0,acousticness,artist,color,danceability,date,days,energy,genres,position,region,size,streams,streams_max,streams_min,track_name,url,valence,country_max
1227136,0.165,The Weeknd,#1DB954,0.6809999999999999,2017-01-01,1.0,0.594,"canadian pop,pop,rap",1,lt,50.0,2583,2583.0,1012.0,Starboy,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,0.535,7450.0
1227137,0.4270000000000001,The Weeknd,#1DB954,0.768,2017-01-01,1.0,0.813,"canadian pop,pop,rap",2,lt,44.95160665892373,2257,2583.0,1012.0,I Feel It Coming,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,0.579,7450.0
1227138,0.0631,ZAYN,#1DB954,0.735,2017-01-01,1.0,0.451,"dance pop,pop,post-teen pop,tropical house",3,lt,40.5381339527681,1972,2583.0,1012.0,"I Donâ??t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,0.0862,7450.0
1227139,0.406,Clean Bandit,#1DB954,0.72,2017-01-01,1.0,0.763,"dance pop,edm,pop,tropical house,uk funky",4,lt,40.36778939217964,1961,2583.0,1012.0,Rockabye (feat. Sean Paul & Anne-Marie),https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,0.742,7450.0
1227140,0.414,The Chainsmokers,#1DB954,0.748,2017-01-01,1.0,0.524,"edm,pop,tropical house",5,lt,40.10452961672475,1944,2583.0,1012.0,Closer,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,0.6609999999999999,7450.0
1227141,0.338,Maroon 5,#1DB954,0.7829999999999999,2017-01-01,1.0,0.623,"dance pop,pop,pop christmas",6,lt,37.79713511420829,1795,2583.0,1012.0,Don't Wanna Know,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,0.447,7450.0
1227142,0.0623,Starley,#1DB954,0.6759999999999999,2017-01-01,1.0,0.843,tropical house,7,lt,36.80603948896632,1731,2583.0,1012.0,Call On Me - Ryan Riback Extended Remix,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,0.718,7450.0
1227143,0.0784,DJ Snake,#1DB954,0.476,2017-01-01,1.0,0.718,"dance pop,edm,electronic trap,pop,tropical house",8,lt,36.4808362369338,1710,2583.0,1012.0,Let Me Love You,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,0.142,7450.0
1227144,0.13,Rae Sremmurd,#1DB954,0.794,2017-01-01,1.0,0.6459999999999999,"dwn trap,hip hop,pop rap,rap,southern hip hop,trap music",9,lt,32.82617111885405,1474,2583.0,1012.0,Black Beatles,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,0.322,7450.0
1227145,0.00784,Drake,#1DB954,0.7909999999999999,2017-01-01,1.0,0.619,"canadian pop,hip hop,pop rap,rap",10,lt,31.897018970189706,1414,2583.0,1012.0,One Dance,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,0.371,7450.0
1227146,0.00383,Steve Aoki,#1DB954,0.647,2017-01-01,1.0,0.932,"big room,dance pop,edm,electro house,tropical house",11,lt,31.478900503290745,1387,2583.0,1012.0,Just Hold On,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,0.374,7450.0
1227147,0.108,Drake,#1DB954,0.927,2017-01-01,1.0,0.488,"canadian pop,hip hop,pop rap,rap",12,lt,31.339527680991093,1378,2583.0,1012.0,Fake Love,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,0.605,7450.0
1227148,0.695,James Arthur,#1DB954,0.358,2017-01-01,1.0,0.557,"dance pop,neo mellow,pop,post-teen pop,talent show",13,lt,31.045296167247386,1359,2583.0,1012.0,Say You Won't Let Go,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,0.494,7450.0
1227149,0.097,The Chainsmokers,#1DB954,0.662,2017-01-01,1.0,0.586,"edm,pop,tropical house",14,lt,29.66705381339528,1270,2583.0,1012.0,All We Know,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,0.29600000000000004,7450.0
1227150,0.0038,The Vamps,#1DB954,0.544,2017-01-01,1.0,0.809,"dance pop,pop,post-teen pop,tropical house,viral pop",15,lt,29.65156794425087,1269,2583.0,1012.0,All Night,https://open.spotify.com/track/4b4KcovePX8Ke2cLIQTLM0,0.448,7450.0
1227151,0.0159,Burak Yeter,#1DB954,0.8390000000000001,2017-01-01,1.0,0.645,,16,lt,29.388308168795966,1252,2583.0,1012.0,Tuesday,https://open.spotify.com/track/7abpmGpF7PGep2rDU68GBR,0.64,7450.0
1227152,0.18600000000000005,Alan Walker,#1DB954,0.6759999999999999,2017-01-01,1.0,0.929,"edm,tropical house",17,lt,28.27332559039877,1180,2583.0,1012.0,Alone,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,0.157,7450.0
1227153,0.371,Hailee Steinfeld,#1DB954,0.636,2017-01-01,1.0,0.633,"dance pop,pop,post-teen pop",18,lt,28.25783972125436,1179,2583.0,1012.0,Starving,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,0.512,7450.0
1227154,0.273,Sage The Gemini,#1DB954,0.7809999999999999,2017-01-01,1.0,0.57,"dance pop,deep pop r&b,dwn trap,hyphy,pop,pop rap,r&b,rap,southern hip hop,trap music",19,lt,28.1184668989547,1170,2583.0,1012.0,Now and Later,https://open.spotify.com/track/08WPvDEsHvTFuB9w8tC2OS,0.858,7450.0
1227155,0.0592,Martin Garrix,#1DB954,0.49,2017-01-01,1.0,0.485,"big room,edm,progressive house,tropical house",20,lt,27.57646147890049,1135,2583.0,1012.0,In the Name of Love,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,0.196,7450.0
1227156,0.586,Alok,#34C065,0.789,2017-01-01,1.0,0.442,,21,lt,27.344173441734423,1120,2583.0,1012.0,Hear Me Now,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON,0.45,7450.0
1227157,0.21,Machine Gun Kelly,#34C065,0.675,2017-01-01,1.0,0.69,"hip hop,pop rap,rap,southern hip hop,trap music",22,lt,26.987998451413088,1097,2583.0,1012.0,Bad Things (with Camila Cabello),https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj,0.272,7450.0
