Unnamed: 0,acousticness,artist,color,danceability,date,days,energy,genres,position,region,size,streams,streams_max,streams_min,track_name,url,valence,country_max
1239442,0.165,The Weeknd,#1DB954,0.6809999999999999,2017-01-01,1.0,0.594,"canadian pop,pop,rap",1,lv,50.0,2059,2059.0,1016.0,Starboy,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,0.535,6623.0
1239443,0.414,The Chainsmokers,#1DB954,0.748,2017-01-01,1.0,0.524,"edm,pop,tropical house",2,lv,44.48275862068965,1775,2059.0,1016.0,Closer,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,0.6609999999999999,6623.0
1239444,0.0784,DJ Snake,#1DB954,0.476,2017-01-01,1.0,0.718,"dance pop,edm,electronic trap,pop,tropical house",3,lv,39.567751335599816,1522,2059.0,1016.0,Let Me Love You,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,0.142,6623.0
1239445,0.0631,ZAYN,#1DB954,0.735,2017-01-01,1.0,0.451,"dance pop,pop,post-teen pop,tropical house",4,lv,38.65468674113647,1475,2059.0,1016.0,"I Donâ??t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,0.0862,6623.0
1239446,0.13,Rae Sremmurd,#1DB954,0.794,2017-01-01,1.0,0.6459999999999999,"dwn trap,hip hop,pop rap,rap,southern hip hop,trap music",5,lv,38.013598834385625,1442,2059.0,1016.0,Black Beatles,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,0.322,6623.0
1239447,0.406,Clean Bandit,#1DB954,0.72,2017-01-01,1.0,0.763,"dance pop,edm,pop,tropical house,uk funky",6,lv,37.41136474016513,1411,2059.0,1016.0,Rockabye (feat. Sean Paul & Anne-Marie),https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,0.742,6623.0
1239448,0.4270000000000001,The Weeknd,#1DB954,0.768,2017-01-01,1.0,0.813,"canadian pop,pop,rap",7,lv,36.65371539582321,1372,2059.0,1016.0,I Feel It Coming,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,0.579,6623.0
1239449,0.695,James Arthur,#1DB954,0.358,2017-01-01,1.0,0.557,"dance pop,neo mellow,pop,post-teen pop,talent show",8,lv,36.53715395823215,1366,2059.0,1016.0,Say You Won't Let Go,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,0.494,6623.0
1239450,0.108,Drake,#1DB954,0.927,2017-01-01,1.0,0.488,"canadian pop,hip hop,pop rap,rap",9,lv,34.38076736279747,1255,2059.0,1016.0,Fake Love,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,0.605,6623.0
1239451,0.00784,Drake,#1DB954,0.7909999999999999,2017-01-01,1.0,0.619,"canadian pop,hip hop,pop rap,rap",10,lv,33.933948518698394,1232,2059.0,1016.0,One Dance,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,0.371,6623.0
1239452,0.0623,Starley,#1DB954,0.6759999999999999,2017-01-01,1.0,0.843,tropical house,11,lv,33.64254492472074,1217,2059.0,1016.0,Call On Me - Ryan Riback Extended Remix,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,0.718,6623.0
1239453,0.338,Maroon 5,#1DB954,0.7829999999999999,2017-01-01,1.0,0.623,"dance pop,pop,pop christmas",12,lv,33.52598348712967,1211,2059.0,1016.0,Don't Wanna Know,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,0.447,6623.0
1239454,0.097,The Chainsmokers,#1DB954,0.662,2017-01-01,1.0,0.586,"edm,pop,tropical house",13,lv,32.59349198640116,1163,2059.0,1016.0,All We Know,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,0.29600000000000004,6623.0
1239455,0.0159,Burak Yeter,#1DB954,0.8390000000000001,2017-01-01,1.0,0.645,,14,lv,32.2243807673628,1144,2059.0,1016.0,Tuesday,https://open.spotify.com/track/7abpmGpF7PGep2rDU68GBR,0.64,6623.0
1239456,0.0592,Martin Garrix,#1DB954,0.49,2017-01-01,1.0,0.485,"big room,edm,progressive house,tropical house",15,lv,31.29188926663429,1096,2059.0,1016.0,In the Name of Love,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,0.196,6623.0
1239457,0.00383,Steve Aoki,#1DB954,0.647,2017-01-01,1.0,0.932,"big room,dance pop,edm,electro house,tropical house",16,lv,30.00971345313259,1030,2059.0,1016.0,Just Hold On,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,0.374,6623.0
1239458,0.371,Hailee Steinfeld,#1DB954,0.636,2017-01-01,1.0,0.633,"dance pop,pop,post-teen pop",17,lv,29.99028654686741,1029,2059.0,1016.0,Starving,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,0.512,6623.0
1239459,0.0038,The Vamps,#1DB954,0.544,2017-01-01,1.0,0.809,"dance pop,pop,post-teen pop,tropical house,viral pop",18,lv,29.73773676542011,1016,2059.0,1016.0,All Night,https://open.spotify.com/track/4b4KcovePX8Ke2cLIQTLM0,0.448,6623.0
1239460,0.165,The Weeknd,#1DB954,0.6809999999999999,2017-01-02,2.0,0.594,"canadian pop,pop,rap",1,lv,50.0,2834,2834.0,1003.0,Starboy,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,0.535,6623.0
