Unnamed: 0,acousticness,artist,color,danceability,date,days,energy,genres,position,region,size,streams,streams_max,streams_min,track_name,url,valence,country_max
1808117,0.165,The Weeknd,#1DB954,0.6809999999999999,2017-01-01,1.0,0.594,"canadian pop,pop,rap",1,sk,50.0,2197,2197.0,1025.0,Starboy,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,0.535,9225.0
1808118,0.414,The Chainsmokers,#1DB954,0.748,2017-01-01,1.0,0.524,"edm,pop,tropical house",2,sk,42.353208921256254,1777,2197.0,1025.0,Closer,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,0.6609999999999999,9225.0
1808119,0.0784,DJ Snake,#1DB954,0.476,2017-01-01,1.0,0.718,"dance pop,edm,electronic trap,pop,tropical house",3,sk,41.53390987710515,1732,2197.0,1025.0,Let Me Love You,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,0.142,9225.0
1808120,0.406,Clean Bandit,#1DB954,0.72,2017-01-01,1.0,0.763,"dance pop,edm,pop,tropical house,uk funky",4,sk,41.206190259444696,1714,2197.0,1025.0,Rockabye (feat. Sean Paul & Anne-Marie),https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,0.742,9225.0
1808121,0.0631,ZAYN,#1DB954,0.735,2017-01-01,1.0,0.451,"dance pop,pop,post-teen pop,tropical house",5,sk,37.51024123805189,1511,2197.0,1025.0,"I Donâ??t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,0.0862,9225.0
1808122,0.4270000000000001,The Weeknd,#1DB954,0.768,2017-01-01,1.0,0.813,"canadian pop,pop,rap",6,sk,33.468365953573056,1289,2197.0,1025.0,I Feel It Coming,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,0.579,9225.0
1808123,0.338,Maroon 5,#1DB954,0.7829999999999999,2017-01-01,1.0,0.623,"dance pop,pop,pop christmas",7,sk,33.231679563040515,1276,2197.0,1025.0,Don't Wanna Know,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,0.447,9225.0
1808124,0.00383,Steve Aoki,#1DB954,0.647,2017-01-01,1.0,0.932,"big room,dance pop,edm,electro house,tropical house",8,sk,32.66727355484752,1245,2197.0,1025.0,Just Hold On,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,0.374,9225.0
1808125,0.13,Rae Sremmurd,#1DB954,0.794,2017-01-01,1.0,0.6459999999999999,"dwn trap,hip hop,pop rap,rap,southern hip hop,trap music",9,sk,32.467000455166136,1234,2197.0,1025.0,Black Beatles,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,0.322,9225.0
1808126,0.695,James Arthur,#1DB954,0.358,2017-01-01,1.0,0.557,"dance pop,neo mellow,pop,post-teen pop,talent show",10,sk,31.46563495675921,1179,2197.0,1025.0,Say You Won't Let Go,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,0.494,9225.0
1808127,0.0623,Starley,#1DB954,0.6759999999999999,2017-01-01,1.0,0.843,tropical house,11,sk,31.411015020482477,1176,2197.0,1025.0,Call On Me - Ryan Riback Extended Remix,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,0.718,9225.0
1808128,0.0841,Twenty One Pilots,#1DB954,0.732,2017-01-01,1.0,0.396,"modern rock,pop punk",12,sk,31.319981793354568,1171,2197.0,1025.0,Heathens,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,0.5479999999999999,9225.0
1808129,0.0935,Calvin Harris,#1DB954,0.8190000000000001,2017-01-01,1.0,0.913,"edm,electro house,house,pop,progressive house",13,sk,31.174328629949926,1163,2197.0,1025.0,My Way,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm,0.536,9225.0
1808130,0.0592,Martin Garrix,#1DB954,0.49,2017-01-01,1.0,0.485,"big room,edm,progressive house,tropical house",14,sk,30.3732362312244,1119,2197.0,1025.0,In the Name of Love,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,0.196,9225.0
1808131,0.097,The Chainsmokers,#1DB954,0.662,2017-01-01,1.0,0.586,"edm,pop,tropical house",15,sk,29.918070095584888,1094,2197.0,1025.0,All We Know,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,0.29600000000000004,9225.0
1808132,0.00784,Drake,#1DB954,0.7909999999999999,2017-01-01,1.0,0.619,"canadian pop,hip hop,pop rap,rap",16,sk,29.845243513882565,1090,2197.0,1025.0,One Dance,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,0.371,9225.0
1808133,0.123,Shawn Mendes,#1DB954,0.624,2017-01-01,1.0,0.8029999999999999,"canadian pop,dance pop,pop,post-teen pop,viral pop",17,sk,29.04415111515703,1046,2197.0,1025.0,Treat You Better,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd,0.821,9225.0
1808134,0.034,Bruno Mars,#1DB954,0.818,2017-01-01,1.0,0.8029999999999999,"dance pop,pop,pop rap,post-teen pop",18,sk,28.75284478834775,1030,2197.0,1025.0,24K Magic,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,0.632,9225.0
1808135,0.13699999999999998,Shawn Mendes,#1DB954,0.469,2017-01-01,1.0,0.68,"canadian pop,dance pop,pop,post-teen pop,viral pop",19,sk,28.66181156121985,1025,2197.0,1025.0,Mercy,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a,0.374,9225.0
1808136,0.165,The Weeknd,#1DB954,0.6809999999999999,2017-01-02,2.0,0.594,"canadian pop,pop,rap",1,sk,50.0,2746,2746.0,1005.0,Starboy,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,0.535,9225.0
1808137,0.406,Clean Bandit,#1DB954,0.72,2017-01-02,2.0,0.763,"dance pop,edm,pop,tropical house,uk funky",2,sk,45.46977421704298,2435,2746.0,1005.0,Rockabye (feat. Sean Paul & Anne-Marie),https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,0.742,9225.0
1808138,0.414,The Chainsmokers,#1DB954,0.748,2017-01-02,2.0,0.524,"edm,pop,tropical house",3,sk,41.973780043699925,2195,2746.0,1005.0,Closer,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,0.6609999999999999,9225.0
1808139,0.0631,ZAYN,#1DB954,0.735,2017-01-02,2.0,0.451,"dance pop,pop,post-teen pop,tropical house",4,sk,41.82811361981064,2185,2746.0,1005.0,"I Donâ??t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,0.0862,9225.0
1808140,0.0784,DJ Snake,#1DB954,0.476,2017-01-02,2.0,0.718,"dance pop,edm,electronic trap,pop,tropical house",5,sk,40.779315367807726,2113,2746.0,1005.0,Let Me Love You,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,0.142,9225.0
1808141,0.4270000000000001,The Weeknd,#1DB954,0.768,2017-01-02,2.0,0.813,"canadian pop,pop,rap",6,sk,36.97742170429716,1852,2746.0,1005.0,I Feel It Coming,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,0.579,9225.0
1808142,0.338,Maroon 5,#1DB954,0.7829999999999999,2017-01-02,2.0,0.623,"dance pop,pop,pop christmas",7,sk,36.58412235979607,1825,2746.0,1005.0,Don't Wanna Know,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,0.447,9225.0
1808143,0.00383,Steve Aoki,#1DB954,0.647,2017-01-02,2.0,0.932,"big room,dance pop,edm,electro house,tropical house",8,sk,35.20029133284778,1730,2746.0,1005.0,Just Hold On,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,0.374,9225.0
1808144,0.695,James Arthur,#1DB954,0.358,2017-01-02,2.0,0.557,"dance pop,neo mellow,pop,post-teen pop,talent show",9,sk,34.763292061179904,1700,2746.0,1005.0,Say You Won't Let Go,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,0.494,9225.0
1808145,0.0623,Starley,#1DB954,0.6759999999999999,2017-01-02,2.0,0.843,tropical house,10,sk,34.54479242534596,1685,2746.0,1005.0,Call On Me - Ryan Riback Extended Remix,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,0.718,9225.0
1808146,0.13,Rae Sremmurd,#1DB954,0.794,2017-01-02,2.0,0.6459999999999999,"dwn trap,hip hop,pop rap,rap,southern hip hop,trap music",11,sk,33.292061179898035,1599,2746.0,1005.0,Black Beatles,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,0.322,9225.0
1808147,0.0592,Martin Garrix,#1DB954,0.49,2017-01-02,2.0,0.485,"big room,edm,progressive house,tropical house",12,sk,31.35469774217043,1466,2746.0,1005.0,In the Name of Love,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,0.196,9225.0
1808148,0.097,The Chainsmokers,#1DB954,0.662,2017-01-02,2.0,0.586,"edm,pop,tropical house",13,sk,31.179898033503278,1454,2746.0,1005.0,All We Know,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,0.29600000000000004,9225.0
1808149,0.0935,Calvin Harris,#1DB954,0.8190000000000001,2017-01-02,2.0,0.913,"edm,electro house,house,pop,progressive house",14,sk,30.844865258557906,1431,2746.0,1005.0,My Way,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm,0.536,9225.0
1808150,0.0841,Twenty One Pilots,#1DB954,0.732,2017-01-02,2.0,0.396,"modern rock,pop punk",15,sk,30.801165331391115,1428,2746.0,1005.0,Heathens,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,0.5479999999999999,9225.0
1808151,0.371,Hailee Steinfeld,#1DB954,0.636,2017-01-02,2.0,0.633,"dance pop,pop,post-teen pop",16,sk,30.029133284777856,1375,2746.0,1005.0,Starving,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,0.512,9225.0
1808152,0.13699999999999998,Shawn Mendes,#1DB954,0.469,2017-01-02,2.0,0.68,"canadian pop,dance pop,pop,post-teen pop,viral pop",17,sk,29.76693372177713,1357,2746.0,1005.0,Mercy,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a,0.374,9225.0
1808153,0.0038,The Vamps,#1DB954,0.544,2017-01-02,2.0,0.809,"dance pop,pop,post-teen pop,tropical house,viral pop",18,sk,29.723233794610337,1354,2746.0,1005.0,All Night,https://open.spotify.com/track/4b4KcovePX8Ke2cLIQTLM0,0.448,9225.0
1808154,0.108,Drake,#1DB954,0.927,2017-01-02,2.0,0.488,"canadian pop,hip hop,pop rap,rap",19,sk,29.446467589220685,1335,2746.0,1005.0,Fake Love,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,0.605,9225.0
1808155,0.034,Bruno Mars,#1DB954,0.818,2017-01-02,2.0,0.8029999999999999,"dance pop,pop,pop rap,post-teen pop",20,sk,28.703568827385286,1284,2746.0,1005.0,24K Magic,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,0.632,9225.0
